Family,Genus,Species,Native Range,Invasive Range,Date,Vector,Niche Expansion,NEMESIS Invader,Notes,References
Pteriidae,Pinctada,radiata,Indo-West Pacific,Mediterranean,1874,Multiple,No,No,,"Galil 2007, Lodola et al 2013, Streftaris and Zenetos 2006"
Malleidae,Malleus,regulus,Indo-West Pacific; Eastern Pacific,Mediterranean,1900,Lessepsian,No,No,,Por 1971
Cardiidae,Afrocardium (Fragum),richardi,Indo-West Pacific,Mediterranean,1997,Lessepsian,No,No,,Galil 2007
Veneridae,Timoclea,roemeriana,Indo-West Pacific,Mediterranean,1997,Lessepsian,Yes,No,,Galil 2007
Psammobiidae,Soletellina,rosea,Indo-West Pacific,Mediterranean,1905,Lessepsian,No,No,,CIESM
Myidae,Sphenia,rueppellii,Indo-West Pacific,Mediterranean,1978,Multiple,Yes,No,,Galil 2007
Pectinidae,Mimachlamys,sanguinea,Indo-West Pacific,Mediterranean,2012,Lessepsian,No,No,,Shefer et al 2012
Semelidae,Ervilia,scaliola,Indo-West Pacific,Mediterranean,2014,Shipping,No,No,,Zenetos & Ovalis 2014
Veneridae,Circe,scripta,Indo-West Pacific,Mediterranean,2007,Shipping,No,No,,Zenetos et al 2008
Mytilidae,Xenostrobus,securis,Australia,Mediterranean; Western Atlantic; Western Pacific,1992,Aquaculture,Yes,No,,Streftaris and Zenetos 2006
Mytilidae,Arcuatula (Musculista),senhousia,Indo-West Pacific,Mediterranean; Eastern Pacific; Australia; Southern Indian Ocean,1960,Multiple,Yes,Yes,,"Galil 2007, Streftaris and Zenetos 2006"
Spondylidae,Spondylus,spinosus,Indo-West Pacific,Mediterranean,1988,Multiple,No,No,,"Galil 2007, Streftaris and Zenetos 2006"
Mesodesmatidae,Atactodea,striata,Indo-West Pacific,Mediterranean,1973,Lessepsian,No,No,,Galil 2007
Pholadidae,Martesia,striata,Global,Hawaii; Mediterranean,1915,Shipping,,No,,Carlton & Eldredge 2009
Pteriidae,Pinctada,sugillata,Indo-West Pacific,South Australia,1980,Shipping,No,No,,Rutherford & Miller 2011
Veneridae,Redicirce,sulcata,Indo-West Pacific,Mediterranean,1970,Shipping,No,No,,Galil 2007
Veneridae,Paratapes,textile,Indo-West Pacific,Mediterranean,1939,Lessepsian,No,No,,Galil 2007
Arcidae,Scapharca,transversa,Western Atlantic,Mediterranean,1972,Shipping,Yes,No,,"Lipej et al 2012, Streftaris and Zenetos 2006"
Arcidae,Barbatia,trapezina,Indo-West Pacific,Mediterranean,2004,Shipping,No,No,,Mienis 2004
Tellinidae,Tellina,valtonis,Indo-West Pacific,Mediterranean,1970,Lessepsian,No,No,,"CIESM, Cinar et al 2011"
Veneridae,Circenita,varia,Indo-West Pacific,Mediterranean,1972,Lessepsian,Yes,No,,Galil 2007
Pteriidae,Electroma,vexillum,Indo-West Pacific,Mediterranean,2002,Multiple,No,No,,Nawrot et al 2015
Pectinidae,Bractechlamys,vexillum,N. Australia,Mediterranean,2000,Shipping,No,No,,WGITMO 2006
Ostreidae,Crassostrea,virginica,Western Atlantic,Eastern Pacific,1869,Aquaculture,No,No,,Sousa et al 2009
Mytilidae,Perna,viridis,Indo-West Pacific,Western Atlantic; Pacific Islands; Mediterranean; Australia,1989,Multiple,No,No,,Spinuzzi et al 2013
,,,,,,,,,,
,,,,,,,,13,,
