Family,Scientific Name,North,South,Pool,Shallowest,Deepest,Max.size,NW.gulf,NE.gulf,SW.gulf,SE.gulf,Range limit annual temp,Range limit min chloro,Range limit max chloro,Lat range,Islands occupied,Extralimital probabality
Mactridae,Mactrotoma angusta,22.375,-4.1,Species Pool,0,60,54,NA,23.20,NA,20.42,23.38,0.33,7.16,27.30,0,0.014556775
Malleidae,Malleus regula,22.375,7.3,Species Pool,10,40,120,25.10,23.23,22.10,20.42,24.86,0.05,7.16,17.80,5,0.062227689
Pholadidae,Martesia striata,24.6,-3.5,Species Pool,0,60,44,31.50,31.40,22.10,20.42,21.56,0.14,7.54,35.00,2,0.013994027
Veneridae,Megapitaria aurantiaca,28,-6.5,Species Pool,0.5,30,128,28.97,31.40,24.10,20.42,18.04,0.41,8.89,37.90,1,0.564477115
Veneridae,Megapitaria squalida,27.8,-5.1,Extralimital,0,200,130,31.02,31.40,22.88,20.42,17.78,0.41,8.97,36.50,2,0.709585935
Lucinidae,Merisca cristallina,28.3,-6.9,Species Pool,18,250,6,29.60,29.90,22.10,20.42,18.35,0.44,7.52,36.80,0,0.188706709
Ungulinidae,Microstagon obliquum,24.1,-2.4,Species Pool,6,30,6,23.50,25.60,22.10,20.42,22.87,0.21,11.06,28.00,0,0.014223848
Mytilidae,Modiolatus pacificus,22.375,-5.8,Species Pool,0,0,98,NA,26.00,NA,20.42,19.41,0.33,8.29,31.80,0,0.015091076
Mytilidae,Modiolus americanus,24.6,-5.1,Species Pool,0,100,85,24.20,27.90,22.10,20.42,19.67,0.41,7.07,33.00,0,0.022184616
Mytilidae,Modiolus eiseni,22.375,-5.1,Species Pool,4,360,55,25.80,27.93,22.10,20.42,19.67,0.21,7.16,33.03,0,0.014794927
Mactridae,Mulinia pallida,26.3,-13.8,Extralimital,0,48,93,31.00,31.40,22.10,20.42,18.46,0.41,21.43,45.20,1,0.909893725
Mytilidae,Mytella charruana,24.6,-3.5,Species Pool,0,0,80,24.20,27.90,22.10,20.42,21.56,0.41,7.54,31.40,1,0.024185812
Mytilidae,Mytella guyanensis,24.6,-3.5,Species Pool,0,0,70,31.02,31.40,30.02,20.42,21.56,0.41,7.54,34.90,0,0.091757569
Mytilidae,Mytella tumbezensis,24.6,-3.5,Species Pool,0,35,46,25.80,27.90,22.10,20.42,21.56,0.21,7.54,31.40,0,0.014606535
Lucinidae,Neophysema aphanes,25.5,-1.5,Species Pool,4,250,21,25.80,30.30,22.10,20.42,21.73,0.21,5.00,31.80,1,0.021502006
Noetiidae,Noetia reversa,22.375,-4.1,Species Pool,0,73,70,29.80,23.20,26.80,20.42,22.84,0.33,7.16,33.90,0,0.014556775
Nuculanidae,Nuculana costellata,22.375,5.5,Species Pool,15,130,25,31.02,27.90,22.10,20.42,23.29,0.33,7.16,25.52,0,0.014556775
Veneridae,Nutricola humilis,28.3,23.3,Species Pool,0,30,7,28.97,24.23,24.17,23.23,18.35,0.21,8.47,5.74,0,0.117037409
Ostreidae,Ostrea angelica,22.375,10.9,Species Pool,0.5,50,100,31.02,31.30,28.80,20.42,20.47,0.10,15.60,20.40,3,0.023027068
Ostreidae,Ostrea conchaphila,22.375,-3.5,Species Pool,0,100,80,31.33,31.40,28.17,20.42,23.24,0.33,7.54,34.90,0,0.014606535
Ostreidae,Ostrea megodon,27.7,-5.9,Extralimital,0,110,103,31.15,27.95,23.13,20.42,17.78,0.42,8.97,37.05,1,0.596795887
Tellinidae,Oudardia varilineata,22.375,-3.7,Species Pool,7,13,25,NA,22.40,NA,20.42,24.38,0.33,7.16,26.10,0,0.014556775
Tellinidae,Oudardia virgo,24.8,-3.5,Species Pool,0,35,23,30.77,31.40,29.77,20.42,21.24,0.41,8.77,34.90,0,0.100078294
Corbulidae,Panamicorbula ventricosa,22.375,-3.5,Species Pool,0,0,35,24.20,27.95,22.10,20.42,23.94,0.33,7.54,31.45,0,0.014606535
